Feature,F_Score,P_Value
LOSS,267.5992909948698,5.675132033496402e-55
CLMINSUR,7.903582076565541,0.005005674102724288
CLMSEX,7.8897392669323,0.005043899930735475
SEATBELT,4.186216417887313,0.040949098527776596
CLMAGE,0.2081204997295185,0.6483185795107999
